"gutenberg_id","text"
1400,"GREAT EXPECTATIONS"
1400,""
1400,"[1867 Edition]"
1400,""
1400,"by Charles Dickens"
1400,""
1400,""
1400,"[Project Gutenberg Editor's Note: There is also another version of"
1400,"this work etext98/grexp10.txt scanned from a different edition]"
1400,""
1400,""
1400,""
1400,""
1400,"Chapter I"
1400,""
1400,"My father's family name being Pirrip, and my Christian name Philip, my"
1400,"infant tongue could make of both names nothing longer or more explicit"
1400,"than Pip. So, I called myself Pip, and came to be called Pip."
1400,""
1400,"I give Pirrip as my father's family name, on the authority of his"
1400,"tombstone and my sister,--Mrs. Joe Gargery, who married the blacksmith."
1400,"As I never saw my father or my mother, and never saw any likeness"
1400,"of either of them (for their days were long before the days of"
1400,"photographs), my first fancies regarding what they were like were"
1400,"unreasonably derived from their tombstones. The shape of the letters on"
1400,"my father's, gave me an odd idea that he was a square, stout, dark man,"
1400,"with curly black hair. From the character and turn of the inscription,"
1400,"""Also Georgiana Wife of the Above,"" I drew a childish conclusion that"
1400,"my mother was freckled and sickly. To five little stone lozenges, each"
1400,"about a foot and a half long, which were arranged in a neat row beside"
1400,"their grave, and were sacred to the memory of five little brothers of"
1400,"mine,--who gave up trying to get a living, exceedingly early in"
1400,"that universal struggle,--I am indebted for a belief I religiously"
1400,"entertained that they had all been born on their backs with their hands"
1400,"in their trousers-pockets, and had never taken them out in this state of"
1400,"existence."
1400,""
1400,"Ours was the marsh country, down by the river, within, as the river"
1400,"wound, twenty miles of the sea. My first most vivid and broad impression"
1400,"of the identity of things seems to me to have been gained on a memorable"
1400,"raw afternoon towards evening. At such a time I found out for certain"
1400,"that this bleak place overgrown with nettles was the churchyard; and"
1400,"that Philip Pirrip, late of this parish, and also Georgiana wife of the"
1400,"above, were dead and buried; and that Alexander, Bartholomew, Abraham,"
1400,"Tobias, and Roger, infant children of the aforesaid, were also dead"
1400,"and buried; and that the dark flat wilderness beyond the churchyard,"
1400,"intersected with dikes and mounds and gates, with scattered cattle"
1400,"feeding on it, was the marshes; and that the low leaden line beyond"
1400,"was the river; and that the distant savage lair from which the wind was"
1400,"rushing was the sea; and that the small bundle of shivers growing afraid"
1400,"of it all and beginning to cry, was Pip."
1400,""
1400,"""Hold your noise!"" cried a terrible voice, as a man started up from"
1400,"among the graves at the side of the church porch. ""Keep still, you"
1400,"little devil, or I'll cut your throat!"""
1400,""
1400,"A fearful man, all in coarse gray, with a great iron on his leg. A man"
